Subject,word,repetition,token,Frame,X,Y
NJ0205c,pad,J,pad_J,14,424,159
NJ0205c,pad,J,pad_J,15,433,158
NJ0205c,pad,J,pad_J,16,442,158
NJ0205c,pad,J,pad_J,17,451,158
NJ0205c,pad,J,pad_J,18,461,159
NJ0205c,pad,J,pad_J,19,470,161
NJ0205c,pad,J,pad_J,20,478,164
NJ0205c,pad,J,pad_J,21,486,169
NJ0205c,pad,J,pad_J,22,494,174
NJ0205c,pad,J,pad_J,23,501,179
NJ0205c,pad,J,pad_J,24,507,186
NJ0205c,pad,J,pad_J,25,513,193
NJ0205c,pad,J,pad_J,26,518,201
NJ0205c,pad,J,pad_J,27,524,208
NJ0205c,pad,J,pad_J,28,528,217
NJ0205c,pad,J,pad_J,29,532,225
NJ0205c,pad,J,pad_J,30,536,233
NJ0205c,pad,J,pad_J,31,543,239
NJ0205c,pad,J,pad_J,32,551,244
NJ0205c,pad,J,pad_J,33,559,249
NJ0205c,pad,K,pad_K,1,273,254
NJ0205c,pad,K,pad_K,2,282,247
NJ0205c,pad,K,pad_K,3,291,240
NJ0205c,pad,K,pad_K,4,301,234
NJ0205c,pad,K,pad_K,5,311,227
NJ0205c,pad,K,pad_K,6,321,221
NJ0205c,pad,K,pad_K,7,331,215
NJ0205c,pad,K,pad_K,8,340,209
NJ0205c,pad,K,pad_K,9,349,202
NJ0205c,pad,K,pad_K,10,359,195
NJ0205c,pad,K,pad_K,11,369,189
NJ0205c,pad,K,pad_K,12,379,184
NJ0205c,pad,K,pad_K,13,389,178
NJ0205c,pad,K,pad_K,14,399,172
NJ0205c,pad,K,pad_K,15,409,167
NJ0205c,pad,K,pad_K,16,420,162
NJ0205c,pad,K,pad_K,17,431,160
NJ0205c,pad,K,pad_K,18,443,159
NJ0205c,pad,K,pad_K,19,455,158
NJ0205c,pad,K,pad_K,20,466,159
NJ0205c,pad,K,pad_K,21,478,160
NJ0205c,pad,K,pad_K,22,489,164
NJ0205c,pad,K,pad_K,23,499,169
NJ0205c,pad,K,pad_K,24,508,177
NJ0205c,pad,K,pad_K,25,514,186
NJ0205c,pad,K,pad_K,26,520,196
NJ0205c,pad,K,pad_K,27,525,207
NJ0205c,pad,K,pad_K,28,530,217
NJ0205c,pad,K,pad_K,29,536,227
NJ0205c,pad,K,pad_K,30,543,236
NJ0205c,pad,K,pad_K,31,550,245
NJ0205c,pad,K,pad_K,32,559,253
NJ0205c,pad,K,pad_K,33,567,261
NJ0205c,pan,B,pan_B,1,293,236
NJ0205c,pan,B,pan_B,2,301,230
NJ0205c,pan,B,pan_B,3,309,225
NJ0205c,pan,B,pan_B,4,317,218
NJ0205c,pan,B,pan_B,5,325,212
NJ0205c,pan,B,pan_B,6,333,206
NJ0205c,pan,B,pan_B,7,341,201
NJ0205c,pan,B,pan_B,8,350,196
NJ0205c,pan,B,pan_B,9,359,191
NJ0205c,pan,B,pan_B,10,367,185
NJ0205c,pan,B,pan_B,11,375,179
NJ0205c,pan,B,pan_B,12,384,174
NJ0205c,pan,B,pan_B,13,393,171
NJ0205c,pan,B,pan_B,14,403,169
NJ0205c,pan,B,pan_B,15,413,168
NJ0205c,pan,B,pan_B,16,423,165
NJ0205c,pan,B,pan_B,17,433,164
NJ0205c,pan,B,pan_B,18,443,164
NJ0205c,pan,B,pan_B,19,453,165
NJ0205c,pan,B,pan_B,20,463,165
NJ0205c,pan,B,pan_B,21,473,165
NJ0205c,pan,B,pan_B,22,482,166
NJ0205c,pan,B,pan_B,23,492,168
NJ0205c,pan,B,pan_B,24,502,171
NJ0205c,pan,B,pan_B,25,511,174
NJ0205c,pan,B,pan_B,26,520,179
NJ0205c,pan,B,pan_B,27,529,184
NJ0205c,pan,B,pan_B,28,536,190
NJ0205c,pan,B,pan_B,29,545,196
NJ0205c,pan,B,pan_B,30,553,201
NJ0205c,pan,B,pan_B,31,562,207
NJ0205c,pan,B,pan_B,32,570,212
NJ0205c,pan,B,pan_B,33,578,218
NJ0205c,pan,C,pan_C,1,296,241
NJ0205c,pan,C,pan_C,2,303,234
NJ0205c,pan,C,pan_C,3,310,227
NJ0205c,pan,C,pan_C,4,317,219
NJ0205c,pan,C,pan_C,5,324,212
NJ0205c,pan,C,pan_C,6,332,206
NJ0205c,pan,C,pan_C,7,341,201
NJ0205c,pan,C,pan_C,8,350,196
NJ0205c,pan,C,pan_C,9,358,190
NJ0205c,pan,C,pan_C,10,366,184
NJ0205c,pan,C,pan_C,11,375,179
NJ0205c,pan,C,pan_C,12,385,176
NJ0205c,pan,C,pan_C,13,394,174
NJ0205c,pan,C,pan_C,14,404,172
NJ0205c,pan,C,pan_C,15,414,170
NJ0205c,pan,C,pan_C,16,424,169
NJ0205c,pan,C,pan_C,17,434,168
NJ0205c,pan,C,pan_C,18,444,167
NJ0205c,pan,C,pan_C,19,454,166
NJ0205c,pan,C,pan_C,20,464,166
NJ0205c,pan,C,pan_C,21,474,167
NJ0205c,pan,C,pan_C,22,484,169
NJ0205c,pan,C,pan_C,23,494,171
NJ0205c,pan,C,pan_C,24,504,174
