Subject,repetition,word,token,Frame,X,Y
NJ0205a,J,pad,J_pad,2,281,239
NJ0205a,J,pad,J_pad,3,290,232
NJ0205a,J,pad,J_pad,4,298,226
NJ0205a,J,pad,J_pad,5,307,219
NJ0205a,J,pad,J_pad,6,316,213
NJ0205a,J,pad,J_pad,7,325,207
NJ0205a,J,pad,J_pad,8,334,202
NJ0205a,J,pad,J_pad,9,344,196
NJ0205a,J,pad,J_pad,10,354,192
NJ0205a,J,pad,J_pad,11,364,189
NJ0205a,J,pad,J_pad,12,374,185
NJ0205a,J,pad,J_pad,13,385,183
NJ0205a,J,pad,J_pad,14,395,180
NJ0205a,J,pad,J_pad,15,405,177
NJ0205a,J,pad,J_pad,16,416,175
NJ0205a,J,pad,J_pad,17,427,173
NJ0205a,J,pad,J_pad,18,437,173
NJ0205a,J,pad,J_pad,19,448,174
NJ0205a,J,pad,J_pad,20,458,178
NJ0205a,J,pad,J_pad,21,468,182
NJ0205a,J,pad,J_pad,22,478,187
NJ0205a,J,pad,J_pad,23,487,193
NJ0205a,J,pad,J_pad,24,495,200
NJ0205a,J,pad,J_pad,25,503,207
NJ0205a,J,pad,J_pad,26,510,215
NJ0205a,J,pad,J_pad,27,518,222
NJ0205a,J,pad,J_pad,28,527,229
NJ0205a,J,pad,J_pad,29,536,235
NJ0205a,J,pad,J_pad,30,544,242
NJ0205a,J,pad,J_pad,31,553,247
NJ0205a,J,pad,J_pad,32,563,252
NJ0205a,J,pad,J_pad,33,573,257
NJ0205a,K,pad,K_pad,1,285,259
NJ0205a,K,pad,K_pad,2,293,252
NJ0205a,K,pad,K_pad,3,302,245
NJ0205a,K,pad,K_pad,4,310,237
NJ0205a,K,pad,K_pad,5,318,229
NJ0205a,K,pad,K_pad,6,326,222
NJ0205a,K,pad,K_pad,7,334,214
NJ0205a,K,pad,K_pad,8,343,207
NJ0205a,K,pad,K_pad,9,352,201
NJ0205a,K,pad,K_pad,10,362,196
NJ0205a,K,pad,K_pad,11,372,192
NJ0205a,K,pad,K_pad,12,382,188
NJ0205a,K,pad,K_pad,13,392,182
NJ0205a,K,pad,K_pad,14,402,178
NJ0205a,K,pad,K_pad,15,413,174
NJ0205a,K,pad,K_pad,16,423,171
NJ0205a,K,pad,K_pad,17,434,171
NJ0205a,K,pad,K_pad,18,446,170
NJ0205a,K,pad,K_pad,19,457,170
NJ0205a,K,pad,K_pad,20,468,170
NJ0205a,K,pad,K_pad,21,479,171
NJ0205a,K,pad,K_pad,22,490,171
NJ0205a,K,pad,K_pad,23,501,173
NJ0205a,K,pad,K_pad,24,511,177
NJ0205a,K,pad,K_pad,25,522,181
NJ0205a,K,pad,K_pad,26,531,187
NJ0205a,K,pad,K_pad,27,540,193
NJ0205a,K,pad,K_pad,28,549,200
NJ0205a,K,pad,K_pad,29,556,208
NJ0205a,K,pad,K_pad,30,564,216
NJ0205a,K,pad,K_pad,31,573,222
NJ0205a,K,pad,K_pad,32,583,228
NJ0205a,K,pad,K_pad,33,592,234
NJ0205a,B,pan,B_pan,1,261,247
NJ0205a,B,pan,B_pan,2,272,242
NJ0205a,B,pan,B_pan,3,282,238
NJ0205a,B,pan,B_pan,4,293,232
NJ0205a,B,pan,B_pan,5,303,227
NJ0205a,B,pan,B_pan,6,314,221
NJ0205a,B,pan,B_pan,7,324,216
NJ0205a,B,pan,B_pan,8,334,209
NJ0205a,B,pan,B_pan,9,344,203
NJ0205a,B,pan,B_pan,10,354,197
NJ0205a,B,pan,B_pan,11,364,190
NJ0205a,B,pan,B_pan,12,374,185
NJ0205a,B,pan,B_pan,13,385,181
NJ0205a,B,pan,B_pan,14,396,176
NJ0205a,B,pan,B_pan,15,407,171
NJ0205a,B,pan,B_pan,16,417,166
NJ0205a,B,pan,B_pan,17,429,163
